group,case,path,threads,concurrent_requests,requests,bytes_per_request,bytes_per_iter,mean_ms,gbps,mreq_s
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,8,1,122462,137,16777294,20.050109,0.836768,6.107797
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,8,2,122462,137,16777294,13.177238,1.273203,9.293450
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,8,4,122462,137,16777294,9.599725,1.747685,12.756824
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,8,8,122462,137,16777294,8.056685,2.082407,15.200047
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,8,16,122462,137,16777294,6.981892,2.402972,17.539945
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,16,1,122462,137,16777294,11.547109,1.452943,10.605425
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,16,2,122462,137,16777294,8.109066,2.068955,15.101862
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,16,4,122462,137,16777294,5.906607,2.840428,20.733054
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,16,8,122462,137,16777294,4.665867,3.595751,26.246354
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,16,16,122462,137,16777294,4.493911,3.733339,27.250649
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,1,1,32202,521,16777242,31.550009,0.531767,1.020665
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,1,2,32202,521,16777242,21.703171,0.773032,1.483746
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,1,4,32202,521,16777242,14.878354,1.127628,2.164352
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,1,8,32202,521,16777242,12.221860,1.372724,2.634787
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,1,16,32202,521,16777242,11.244648,1.492020,2.863762
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,2,1,32202,521,16777242,18.854152,0.889843,1.707953
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,2,2,32202,521,16777242,12.408669,1.352058,2.595121
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,2,4,32202,521,16777242,8.839816,1.897918,3.642836
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,2,8,32202,521,16777242,7.031913,2.385872,4.579408
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,2,16,32202,521,16777242,6.521246,2.572705,4.938014
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,4,1,32202,521,16777242,10.007095,1.676535,3.217917
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,4,2,32202,521,16777242,6.358391,2.638599,5.064489
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,4,4,32202,521,16777242,4.742460,3.537667,6.790147
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,4,8,32202,521,16777242,3.703720,4.529836,8.694502
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,4,16,32202,521,16777242,3.434914,4.884326,9.374906
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,8,1,32202,521,16777242,5.415423,3.098049,5.946350
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,8,2,32202,521,16777242,3.606330,4.652164,8.929298
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,8,4,32202,521,16777242,2.834324,5.919310,11.361439
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,8,8,32202,521,16777242,2.223280,7.546167,14.484007
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,8,16,32202,521,16777242,2.009730,8.348009,16.023049
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,16,1,32202,521,16777242,2.991069,5.609113,10.766052
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,16,2,32202,521,16777242,2.062319,8.135135,15.614463
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,16,4,32202,521,16777242,1.708843,9.817897,18.844331
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,16,8,32202,521,16777242,1.346838,12.456768,23.909343
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-512,DSA Prost thread matrix,16,16,32202,521,16777242,1.230723,13.632025,26.165116
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,1,1,16242,1033,16777986,17.436829,0.962215,0.931477
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,1,2,16242,1033,16777986,11.476163,1.461986,1.415281
