workload,gap_tsc_ticks,k_prefill,submitted,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,median_hardware_observed,min_hardware_observed,max_hardware_observed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
noop,100,96,97,10,13.0,14,14,15553.0,15598.8,8636.0,96,96,97.0,97,97,0,0,0,10,0,1
noop,100,114,115,10,13.0,15,18,18727.0,18787.8,12334.0,114,114,115.0,115,115,0,0,0,10,0,1
noop,100,128,129,10,13.0,21,58,19898.0,20041.8,14373.0,128,128,129.0,129,129,0,0,0,10,0,1
noop,100,160,161,10,217.5,227,256,25292.0,25661.8,15199.0,160,160,161.0,161,161,0,0,0,10,0,1
noop,100,192,193,10,12.5,13,13,26736.0,26926,21434.0,192,192,193.0,193,193,0,0,0,10,0,1
noop,100,224,225,10,212.5,219,220,40219.0,40204.8,16981.0,224,224,225.0,225,225,0,0,0,10,0,1
noop,100,256,257,10,215.0,217,219,34750.0,34917.8,28619.0,256,256,257.0,257,257,0,0,0,10,0,1
noop,100,288,289,10,209.5,216,219,55419.0,57259.8,15917.0,288,288,289.0,289,289,0,0,0,10,0,1
noop,100,320,321,10,213.0,216,216,62839.0,63530.8,18463.0,320,320,321.0,321,321,0,0,0,10,0,1
noop,150,96,97,10,14.0,19,20,21390.0,21514,5387.0,96,96,97.0,97,97,0,0,0,10,0,1
noop,150,114,115,10,13.0,15,15,24680.0,24685.4,4732.0,114,114,115.0,115,115,0,0,0,10,0,1
noop,150,128,129,10,13.5,17,25,27248.0,27296.6,8582.0,128,128,129.0,129,129,0,0,0,10,0,1
noop,150,160,161,10,13.0,13,13,32075.0,32121.6,9991.0,160,160,161.0,161,161,0,0,0,10,0,1
noop,150,192,193,10,13.0,14,15,38993.0,39062.4,9912.0,192,192,193.0,193,193,0,0,0,10,0,1
noop,150,224,225,10,12.5,14,16,47968.0,48343.2,13345.0,224,224,225.0,225,225,0,0,0,10,0,1
noop,150,256,257,10,13.0,13,14,49888.0,50899.2,14077.0,256,256,257.0,257,257,0,0,0,10,0,1
noop,150,288,289,10,13.0,24,217,58893.0,58909.2,13789.0,288,288,289.0,289,289,0,0,0,10,0,1
noop,150,320,321,10,13.5,74,171,67185.0,72095.4,17047.0,320,320,321.0,321,321,0,0,0,10,0,1
noop,200,96,97,10,14.0,15,15,25444.0,25606.8,3564.0,96,96,97.0,97,97,0,0,0,10,0,1
noop,200,114,115,10,13.0,13,20,30202.0,30174.6,3650.0,114,114,115.0,115,115,0,0,0,10,0,1
