message_bytes,concurrency,raw_mops,async_mops,async_over_raw,loss_percent,raw_gbps,async_gbps
128,1,1.7136883714819404,0.472954497,0.27598629066439,72.401370933561,0.21935211154968837,0.060538
128,8,5.165733964700818,4.975188065999999,0.9631134897764999,3.688651022350009,0.6612139474817047,0.636824
128,32,10.118726389638423,6.084864341,0.6013468599398933,39.865314006010664,1.2951969778737182,0.778863
128,64,11.397310234784591,5.695555272,0.49972801956528,50.027198043472,1.4588557100524275,0.729031
128,128,15.372790161414297,6.225428187,0.40496410356435,59.503589643565,1.96771714066103,0.796855
256,1,1.6582189622865733,0.623201029,0.37582553521197665,62.41744647880234,0.42450405434536276,0.159539
256,8,6.64172330580708,3.0369304759999998,0.4572503755681466,54.27496244318534,1.7002811662866124,0.777454
256,32,10.199571617992044,4.812007020999999,0.47178520836224336,52.82147916377566,2.6110903342059633,1.231874
256,64,11.460004584001833,7.309968059999999,0.6378678129156,36.213218708439996,2.933761173504469,1.871352
256,128,15.294417537598775,6.018611216,0.39351686333946667,60.64831366605333,3.9153708896252866,1.540764
1024,1,1.4932059130954158,0.721139711,0.4829472644567,51.70527355433,1.5290428550097057,0.738447
1024,8,6.767273465520741,3.979047826,0.58798389724802,41.201610275198,6.929688028693239,4.074545
1024,32,8.938414325298693,4.408906427,0.4932537546980033,50.674624530199665,9.152936269105862,4.51472
1024,64,10.980564401010211,5.254584271,0.47853498955997,52.146501044003,11.244097946634456,5.380694
1024,128,15.331936423570296,2.990535204,0.19505267445556002,80.494732554444,15.699902897735983,3.062308
