workload,gap_tsc_ticks,k_prefill,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,min_trace_completed,max_trace_completed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
noop,100,224,10,210.5,215,248,40190.0,40289.6,16350.0,224,224,225,225,0,0,0,10,0,1
noop,100,256,10,216.5,218,219,34909.0,34993,28817.0,256,256,257,257,0,0,0,10,0,1
noop,100,288,10,209.0,211,212,41225.0,41249.8,28485.0,288,288,289,289,0,0,0,10,0,1
noop,100,320,10,217.0,219,223,50150.0,50205.2,31837.0,320,320,321,321,0,0,0,10,0,1
noop,150,96,10,12.0,13,13,20962.0,20921,5056.0,96,96,97,97,0,0,0,10,0,1
noop,150,114,10,13.0,13,13,23923.0,23957,6333.0,114,114,115,115,0,0,0,10,0,1
noop,150,128,10,12.0,13,14,26288.0,26373.4,8667.0,128,128,129,129,0,0,0,10,0,1
noop,150,160,10,12.0,13,13,32434.0,32450.8,9176.0,160,160,161,161,0,0,0,10,0,1
noop,150,192,10,12.0,13,13,38204.0,38161.6,10317.0,192,192,193,193,0,0,0,10,0,1
noop,150,224,10,12.0,13,13,43982.0,43991.2,13421.0,224,224,225,225,0,0,0,10,0,1
noop,150,256,10,13.0,13,13,49718.0,49876.4,14130.0,256,256,257,257,0,0,0,10,0,1
noop,150,288,10,10.0,11,11,52716.0,52908.6,17511.0,288,288,289,289,0,0,0,10,0,1
noop,150,320,10,12.0,13,13,61487.0,61497.6,20785.0,320,320,321,321,0,0,0,10,0,1
noop,200,96,10,12.0,13,13,24072.0,24214.6,1738.0,96,96,97,97,0,0,0,10,0,1
noop,200,114,10,10.5,11,11,27020.0,27261,2725.0,114,114,115,115,0,0,0,10,0,1
noop,200,128,10,12.5,13,13,31344.0,31473.8,3098.0,128,128,129,129,0,0,0,10,0,1
noop,200,160,10,12.0,13,13,38483.0,38560.6,2638.0,160,160,161,161,0,0,0,10,0,1
noop,200,192,10,12.0,13,13,46591.0,46563.4,4837.0,192,192,193,193,0,0,0,10,0,1
noop,200,224,10,12.0,13,13,52835.0,52897.6,4099.0,224,224,225,225,0,0,0,10,0,1
noop,200,256,10,12.5,13,13,60289.0,60316.4,5187.0,256,256,257,257,0,0,0,10,0,1
noop,200,288,10,12.0,13,13,67391.0,67478.2,6303.0,288,288,289,289,0,0,0,10,0,1
noop,200,320,10,12.5,13,13,74348.0,74714.2,10389.0,320,320,321,321,0,0,0,10,0,1
noop,300,96,10,12.0,13,13,33496.0,33606.6,1878.0,96,96,97,97,0,0,0,10,0,1
noop,300,114,10,12.0,13,13,39448.0,39475.6,2013.0,114,114,115,115,0,0,0,10,0,1
noop,300,128,10,12.0,12,13,43992.0,44094.4,2364.0,128,128,129,129,0,0,0,10,0,1
noop,300,160,10,12.5,13,13,54401.0,54454,1146.0,160,160,161,161,0,0,0,10,0,1
noop,300,192,10,13.0,13,13,66546.0,66471.2,1567.0,192,192,193,193,0,0,0,10,0,1
noop,300,224,10,12.0,13,13,75337.0,75320,1523.0,224,224,225,225,0,0,0,10,0,1
noop,300,256,10,12.0,13,13,85800.0,86780.6,1710.0,256,256,257,257,0,0,0,10,0,1
noop,300,288,10,12.5,13,13,96301.0,97208.8,2776.0,288,288,289,289,0,0,0,10,0,1
noop,300,320,10,12.0,13,14,106993.0,107663.8,2035.0,320,320,321,321,0,0,0,10,0,1
1MiB,0,96,10,39.0,119,159,557.0,794.4,2226184.0,29,30,97,97,0,0,0,10,0,1
