operation,pattern,polling_mode,queue_type,concurrency,msg_size,bandwidth_gbps,msg_rate_mps,page_faults,latency_min_ns,latency_max_ns,latency_avg_ns,latency_p50_ns,latency_p99_ns,latency_count
data_move,sliding_window_noalloc_fixed_ring_batch,inline,Backoff,4,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,LockFree,4,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,NoLock,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Mutex,1,256,0.242644,1.01772,0,871,24221,947.516,925,1130,98304
data_move,sliding_window_noalloc_ring_batch,inline,TAS,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,TTAS,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Backoff,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,LockFree,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,NoLock,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Mutex,1,1024,0.896149,0.93968,0,939,13895,1029.44,1012,1222,24576
data_move,sliding_window_noalloc_ring_batch,inline,TAS,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,TTAS,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Backoff,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,LockFree,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,NoLock,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Mutex,1,4096,3.12835,0.820077,0,1053,51875,1184.48,1147,1383,6144
data_move,sliding_window_noalloc_ring_batch,inline,TAS,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,TTAS,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Backoff,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,LockFree,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,NoLock,1,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Mutex,1,16384,8.95959,0.587176,0,1478,13650,1668.13,1657,1985,1536
data_move,sliding_window_noalloc_ring_batch,inline,TAS,1,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,TTAS,1,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Backoff,1,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,LockFree,1,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,NoLock,4,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Mutex,4,256,0.553889,2.32318,0,860,110053,1627.97,1621,2518,98304
data_move,sliding_window_noalloc_ring_batch,inline,TAS,4,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,TTAS,4,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Backoff,4,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,LockFree,4,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,NoLock,4,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Mutex,4,1024,2.13735,2.24118,0,910,15349,1705.2,1664,2595,24576
data_move,sliding_window_noalloc_ring_batch,inline,TAS,4,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,TTAS,4,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Backoff,4,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,LockFree,4,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,NoLock,4,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Mutex,4,4096,8.23903,2.15981,0,1090,9432,1792.69,1653,2932,6144
data_move,sliding_window_noalloc_ring_batch,inline,TAS,4,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,TTAS,4,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Backoff,4,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,LockFree,4,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,NoLock,4,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Mutex,4,16384,24.7198,1.62004,0,1955,20798,2418.32,2318,3508,1536
data_move,sliding_window_noalloc_ring_batch,inline,TAS,4,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,TTAS,4,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,Backoff,4,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_ring_batch,inline,LockFree,4,16384,0,0,0,0,0,0,0,0,0
